"number","species","date","name"
77,"Svartvit flugsnappare",1967-05-19,"Ölands norra udde"
76,"Gulärla",1967-05-19,"Ölands norra udde"
75,"Storskrake",1967-05-11,"Ölands norra udde"
74,"Gök",1967-05-11,"Ölands norra udde"
73,"Skogsduva",1967-05-11,"Ölands norra udde"
72,"Grå flugsnappare",1967-05-11,"Ölands norra udde"
71,"Bergfink",1967-05-11,"Ölands norra udde"
70,"Skräntärna",1966-08-07,"Ölands norra udde"
69,"Halsbandsflugsnappare",1966-06-15,"Ölands norra udde"
68,"Roskarl",1966-06-11,"Ölands norra udde"
67,"Fasan",1965-07-20,"Ölands norra udde"
66,"Spillkråka",1965-07-20,"Ölands norra udde"
65,"Gröngöling",1965-07-20,"Ölands norra udde"
64,"Svartmes",1965-07-20,"Ölands norra udde"
63,"Trädlärka",1965-07-20,"Ölands norra udde"
62,"Grönsiska",1965-07-20,"Ölands norra udde"
61,"Nattskärra",1965-07-19,"Ölands norra udde"
60,"Ringduva",1965-07-19,"Ölands norra udde"
59,"Nötskrika",1965-07-19,"Ölands norra udde"
58,"Lövsångare",1965-07-19,"Ölands norra udde"
57,"Trädkrypare",1965-07-19,"Ölands norra udde"
56,"Koltrast",1965-07-19,"Ölands norra udde"
55,"Bofink",1965-07-19,"Ölands norra udde"
54,"Domherre",1965-07-19,"Ölands norra udde"
53,"Gulsparv",1965-07-19,"Ölands norra udde"
52,"Prutgås",1965-06-01,"Ölands norra udde"
51,"Salskrake",1965-06-01,"Ölands norra udde"
50,"Turturduva",1965-06-01,"Ölands norra udde"
49,"Turkduva",1965-06-01,"Ölands norra udde"
48,"Tretåig mås",1965-06-01,"Ölands norra udde"
47,"Dvärgmås",1965-06-01,"Ölands norra udde"
46,"Småtärna",1965-06-01,"Ölands norra udde"
45,"Tordmule",1965-06-01,"Ölands norra udde"
44,"Skärpiplärka",1965-06-01,"Ölands norra udde"
43,"Råka",1965-05-29,"Ölands norra udde"
42,"Ljungpipare",1965-05-27,"Ölands norra udde"
41,"Större strandpipare",1965-05-27,"Ölands norra udde"
40,"Storspov",1965-05-27,"Ölands norra udde"
39,"Rödspov",1965-05-27,"Ölands norra udde"
38,"Brushane",1965-05-27,"Ölands norra udde"
37,"Törnsångare",1965-05-27,"Ölands norra udde"
36,"Kentsk tärna",1965-05-24,"Ölands norra udde"
35,"Knölsvan",1963-06-12,"Ölands norra udde"
34,"Vigg",1963-06-12,"Ölands norra udde"
33,"Svärta",1963-06-12,"Ölands norra udde"
32,"Småskrake",1963-06-12,"Ölands norra udde"
31,"Tornseglare",1963-06-12,"Ölands norra udde"
30,"Tofsvipa",1963-06-12,"Ölands norra udde"
29,"Rödbena",1963-06-12,"Ölands norra udde"
28,"Gluttsnäppa",1963-06-12,"Ölands norra udde"
27,"Havstrut",1963-06-12,"Ölands norra udde"
26,"Fisktärna",1963-06-12,"Ölands norra udde"
25,"Silvertärna",1963-06-12,"Ölands norra udde"
24,"Sillgrissla",1963-06-12,"Ölands norra udde"
23,"Tobisgrissla",1963-06-12,"Ölands norra udde"
22,"Kråka",1963-06-12,"Ölands norra udde"
21,"Ladusvala",1963-06-12,"Ölands norra udde"
20,"Hussvala",1963-06-12,"Ölands norra udde"
19,"Sädesärla",1963-06-12,"Ölands norra udde"
18,"Skrattmås",1962-06-23,"Ölands norra udde"
17,"Gråtrut",1962-06-23,"Ölands norra udde"
16,"Fiskmås",1962-06-23,"Ölands norra udde"
15,"Silltrut",1962-06-23,"Ölands norra udde"
14,"Sjöorre",1961-05-21,"Ölands norra udde"
13,"Ormvråk",1960-09-14,"Ölands norra udde"
12,"Vitnäbbad islom",1960-06-03,"Ölands norra udde"
11,"Gravand",1954-06-23,"Ölands norra udde"
10,"Strandskata",1954-06-23,"Ölands norra udde"
9,"Skärfläcka",1954-06-23,"Ölands norra udde"
8,"Myrspov",1954-06-23,"Ölands norra udde"
7,"Svart stork",1919-08-18,"Ölands norra udde"
6,"Alkekung",1914-11-08,"Ölands norra udde"
5,"Röd glada",1890-08-17,"Ölands norra udde"
4,"Bivråk",1890-08-16,"Ölands norra udde"
3,"Ejder",1890-06-15,"Ölands norra udde"
2,"Alfågel",1890-06-01,"Ölands norra udde"
1,"Storlom",1890-01-12,"Ölands norra udde"
